X;Y;fijacion;modelo;nomcalle;portal;barrio;leyenda_mo;codigo;observ;distritos
731228.38;4355432.007;;;;;;;151;;
731225.772;4355297.046;;;;;;;152;;
731232.292;4355212.94099999964;;;;;;;153;;
731248.323;4354929.869;;;;;;;154;;
731262.725;4354910.666;;;;;;;155;;
731217.118;4354881.262;;;;;;;156;;
731286.134;4354863.46;;;;;;;157;;
731188.314;4354791.849;;;;;;;158;;
731081.498;4354802.05;;;;;;;159;;
731067.096;4354836.25499999989;;;;;;;160;;
721263.02;4375742.042;;;;;;;162;;
721232.024;4375753.61;;;;;;;163;;
721252.222;4375763.638;;;;;;;164;;
721273.817;4375776.341;;;;;;;165;;
721245.871;4375806.193;;;;;;;166;;
721320.184;4375849.38399999961;;;;;;;167;;
721389.416;4375834.14;;;;;;;168;;
721364.645;4375897.656;;;;;;;169;;
721463.094;4375839.85599999968;;;;;;;170;;
721465.0;4375858.911;;;;;;;171;;
721494.852;4375877.966;;;;;;;172;;
721533.597;4375898.926;;;;;;;173;;
721529.786;4375874.155;;;;;;;174;;
721588.22;4375912.264;;;;;;;175;;
721585.044;4376032.944;;;;;;;176;;
721696.908;4375940.648;;;;;;;177;;
721628.87;4376070.418;;;;;;;178;;
721689.845;4376082.48599999957;;;;;;;179;;
721407.836;4375823.342;;;;;;;180;;
721372.902;4375801.11199999973;;;;;;;181;;
721365.915;4375757.921;;;;;;;182;;
721325.9;4375775.071;;;;;;;183;;
721551.706;4375805.637;;;;;;;184;;
721481.514;4375742.677;;;;;;;185;;
721433.877;4375712.825;;;;;;;186;;
721459.918;4375701.392;;;;;;;187;;
721478.973;4375679.797;;;;;;;188;;
721493.153;4375651.155;;;;;;;189;;
721520.893;4375678.52699999977;;;;;;;190;;
721465.0;4375622.633;;;;;;;191;;
721407.835;4375691.865;;;;;;;192;;
721344.955;4375684.87799999956;;;;;;;193;;
721287.791;4375630.25499999989;;;;;;;194;;
721348.766;4375567.37399999984;;;;;;;196;;
721370.996;4375564.19799999986;;;;;;;197;;
721400.849;4375541.33299999963;;;;;;;198;;
721408.47;4375504.494;;;;;;;199;;
721353.847;4375488.615;;;;;;;200;;
721393.862;4375601.03799999971;;;;;;;201;;
721412.281;4375594.68599999975;;;;;;;202;;
721449.756;4375530.535;;;;;;;203;;
721481.514;4375529.26499999966;;;;;;;204;;
721501.839;4375562.928;;;;;;;205;;
721570.436;4375583.888;;;;;;;206;;
721583.774;4375608.659;;;;;;;207;;
731065.896;4354867.46;;;;;;;208;;
731257.924;4354717.438;;;;;;;209;;
731232.72;4354682.03299999982;;;;;;;210;;
731244.122;4354650.228;;;;;;;211;;
731245.761;4354499.558;;;;;;;213;;
731222.518;4354243.36799999978;;;;;;;214;;
731316.132;4354499.60599999968;;;;;;;215;;
731331.735;4354491.80399999954;;;;;;;216;;
731270.526;4354575.217;;;;;;;217;;
731272.926;4354785.24799999967;;;;;;;218;;
731282.528;4354800.85;;;;;;;219;;
729645.847;4362750.01499999966;;;;;;;220;;
729644.543;4362778.70199999958;;;;;;;221;;
729638.675;4362845.85699999984;;;;;;;222;;
729703.874;4362854.984;;;;;;;223;;
729745.601;4362868.024;;;;;;;224;;
729708.438;4362795.654;;;;;;;225;;
729688.878;4362781.962;;;;;;;226;;
729731.909;4362755.883;;;;;;;227;;
729756.464;4362652.96399999969;;;;;;;228;;
729787.689;4362644.837;;;;;;;229;;
729752.73;4362639.545;;;;;;;230;;
729746.252;4362620.27099999972;;;;;;;231;;
729767.768;4362603.971;;;;;;;232;;
729800.114;4362610.668;;;;;;;233;;
729787.979;4362603.971;;;;;;;234;;
729820.578;4362617.011;;;;;;;235;;
729852.525;4362606.579;;;;;;;236;;
729887.08;4362594.19099999964;;;;;;;237;;
729902.728;4362588.97499999963;;;;;;;238;;
729934.675;4362576.588;;;;;;;239;;
729688.878;4362633.31;;;;;;;240;;
729636.067;4362622.87899999972;;;;;;;241;;
729626.288;4362643.74199999962;;;;;;;242;;
729609.336;4362637.222;;;;;;;243;;
729620.42;4362661.99799999967;;;;;;;244;;
729602.923;4362662.417;;;;;;;245;;
729597.6;4362687.42499999981;;;;;;;246;;
729626.288;4362696.553;;;;;;;247;;
729626.288;4362712.852;;;;;;;248;;
729625.636;4362726.54399999976;;;;;;;249;;
729574.129;4362617.011;;;;;;;250;;
729536.966;4362620.27099999972;;;;;;;251;;
728877.821;4367137.734;;;;;;;252;;
728892.933;4367075.47;;;;;;;253;;
728930.413;4367005.95199999958;;;;;;;254;;
728904.419;4367022.274;;;;;;;255;;
728935.853;4366978.14499999955;;;;;;;256;;
728914.696;4366978.14499999955;;;;;;;257;;
728970.31;4367013.206;;;;;;;258;;
729037.41;4367010.78799999971;;;;;;;259;;
729028.342;4366999.302;;;;;;;260;;
729019.879;4367010.183;;;;;;;261;;
729002.953;4366993.257;;;;;;;262;;
729001.744;4367006.55599999987;;;;;;;263;;
728987.236;4367039.2;;;;;;;264;;
728999.326;4367054.312;;;;;;;265;;
729001.744;4367037.386;;;;;;;266;;
729009.603;4367056.126;;;;;;;267;;
